CPF/CNPJ;Razao Social;Conta;ID Transacao;Placa;Eixo Cadastrado;Eixo Cobrado;VeloeTag;Data de Utilizacao;Hora de Untrada;Data Fim de Utilizacao;Hora Fim de Utilizacao;Permanencia;Data de Processamento;Hora de Processamento;Nome do Estabelecimento;Endereco do Estabelecimento;Valor Cobrado;Tipo do Movimento;Tipo de Transacao;Informacao 1;Informacao 2;Informacao 3;Praca;Pista;Agencia;ID Concessionaria DTO;Concessionaria ID;Vale Pedagio;FastId
05437537000137;AUTO GERAL AUTOPECAS LTDA;229258;1426275406;DWH6543;2 eixos rodagem simples;2 eixos rodagem simples;1129701211;29/06/2024;14:53:51;;;;29/06/2024;14:54:13;RODOVIAS DAS COLINAS S.A;SP 300, 137.722, OESTE, PORTO FELIZ - SP;9,9;Debito;Passagem Dentro SLA;;;;5;2;ARTESP;24;1013;true;eee05b7a-99a4-4313-90b8-9936420d3526
05437537000137;AUTO GERAL AUTOPECAS LTDA;229258;1426186571;GIG7685;2 eixos rodagem simples;2 eixos rodagem simples;1148968566;29/06/2024;12:19:52;;;;29/06/2024;12:20:05;RODOVIAS DAS COLINAS S.A;SP 300, 137.722, OESTE, PORTO FELIZ - SP;9,9;Debito;Passagem Dentro SLA;;;;5;2;ARTESP;24;1013;true;739e71c2-832f-4ae5-ae80-f4ed302482ef
05437537000137;AUTO GERAL AUTOPECAS LTDA;229258;1426119607;GIY1B04;2 eixos rodagem simples;2 eixos rodagem simples;1172923315;29/06/2024;10:15:56;;;;29/06/2024;10:17:50;CONCESSIONARIA DE RODOVIAS DO OESTE DE SAO PAULO VIAOESTE S.A;SP 280, 74.0, LESTE, ITU - SP;15,2;Debito;Passagem Dentro SLA;;;;143;115;ARTESP;286;1012;true;2803fc70-a043-414b-84ed-dcb445bf9fd3
05437537000137;AUTO GERAL AUTOPECAS LTDA;229258;1426038617;DWH6543;2 eixos rodagem simples;2 eixos rodagem simples;1129701211;29/06/2024;07:19:03;;;;29/06/2024;07:19:18;RODOVIAS DAS COLINAS S.A;SP 300, 137.722, OESTE, PORTO FELIZ - SP;9,9;Debito;Passagem Dentro SLA;;;;5;9;ARTESP;24;1013;true;d3c042da-d303-46be-b13d-8f9e69d4e3b1
05437537000137;AUTO GERAL AUTOPECAS LTDA;229258;1425045603;DWH6543;2 eixos rodagem simples;2 eixos rodagem simples;1129701211;28/06/2024;18:23:43;;;;28/06/2024;18:24:03;RODOVIAS DAS COLINAS S.A;SP 300, 137.722, OESTE, PORTO FELIZ - SP;9,9;Debito;Passagem Dentro SLA;;;;5;2;ARTESP;24;1013;true;edf2c567-79d2-4a31-b147-e4114396174d
05437537000137;AUTO GERAL AUTOPECAS LTDA;229258;1425030936;GIG7685;2 eixos rodagem simples;2 eixos rodagem simples;1148968566;28/06/2024;18:13:52;;;;28/06/2024;18:14:03;RODOVIAS DAS COLINAS S.A;SP 300, 137.722, OESTE, PORTO FELIZ - SP;9,9;Debito;Passagem Dentro SLA;;;;5;2;ARTESP;24;1013;true;bf819687-7aca-4bae-b306-b447b71b6032
05437537000137;AUTO GERAL AUTOPECAS LTDA;229258;1424956533;PXD7G42;2 eixos rodagem simples;2 eixos rodagem simples;2167066407;28/06/2024;17:27:05;;;;28/06/2024;17:27:18;RODOVIAS DAS COLINAS S.A;SP 300, 137.722, OESTE, PORTO FELIZ - SP;9,9;Debito;Passagem Dentro SLA;;;;5;2;ARTESP;24;1013;true;00e2f5cd-4e0d-4f7c-88a6-8e08d0f950b3
05437537000137;AUTO GERAL AUTOPECAS LTDA;229258;1424934038;DFJ9195;2 eixos rodagem simples;2 eixos rodagem simples;2199910708;28/06/2024;17:12:23;;;;28/06/2024;17:12:40;CONCESSIONARIA DE RODOVIAS DO OESTE DE SAO PAULO VIAOESTE S.A;SP 075, 12.5, SUL, ITU - SP;8,6;Debito;Passagem Dentro SLA;;;;154;112;ARTESP;286;1012;true;1947780d-1fe9-4b42-a311-52d73ebb4954
05437537000137;AUTO GERAL AUTOPECAS LTDA;229258;1424651592;PXD7G42;2 eixos rodagem simples;2 eixos rodagem simples;2167066407;28/06/2024;14:00:09;;;;28/06/2024;14:00:18;RODOVIAS DAS COLINAS S.A;SP 300, 137.722, OESTE, PORTO FELIZ - SP;9,9;Debito;Passagem Dentro SLA;;;;5;2;ARTESP;24;1013;true;22c70f15-c199-4e19-9099-beeac58fb96b
05437537000137;AUTO GERAL AUTOPECAS LTDA;229258;1424453337;GIA7B06;2 eixos rodagem simples;2 eixos rodagem simples;2132631068;28/06/2024;11:09:52;;;;28/06/2024;11:10:06;CONCESSIONARIA DE RODOVIAS DO OESTE DE SAO PAULO VIAOESTE S.A;SP 075, 12.5, SUL, ITU - SP;8,6;Debito;Passagem Dentro SLA;;;;154;112;ARTESP;286;1012;true;7dea68c3-0aac-4eb8-9efc-9dacb1cb7eb3
