CPF/CNPJ;Razao Social;Conta;ID Transacao;Placa;Eixo Cadastrado;Eixo Cobrado;VeloeTag;Data de Utilizacao;Hora de Untrada;Data Fim de Utilizacao;Hora Fim de Utilizacao;Permanencia;Data de Processamento;Hora de Processamento;Nome do Estabelecimento;Endereco do Estabelecimento;Valor Cobrado;Tipo do Movimento;Tipo de Transacao;Informacao 1;Informacao 2;Informacao 3;Praca;Pista;Agencia;ID Concessionaria DTO;Concessionaria ID;Vale Pedagio;FastId
05437537000137;AUTO GERAL AUTOPECAS LTDA;229258;1317057959;DWH6543;2 eixos, rodagem simples;2 eixos, rodagem simples;1129701211;30/03/2024;12:25:34;01/01/2000;00:00:00;;30/03/2024;12:25:49;RODOVIAS DAS COLINAS S.A;SP 280, 111.3, LESTE, BOITUVA - SP;12,4;Debito;Passagem Dentro SLA;;;;2;3;;24;1013;false;fab6c44b-0338-4c65-924a-c6a7e7cf1435
05437537000137;AUTO GERAL AUTOPECAS LTDA;229258;1316614618;DWH6543;2 eixos, rodagem simples;2 eixos, rodagem simples;1129701211;30/03/2024;07:15:46;01/01/2000;00:00:00;;30/03/2024;07:16:08;RODOVIAS DAS COLINAS S.A;SP 280, 111.3, LESTE, BOITUVA - SP;12,4;Debito;Passagem Dentro SLA;;;;2;16;;24;1013;false;d22d220a-d4ab-43d1-b46a-c1fc89c9b0cb
05437537000137;AUTO GERAL AUTOPECAS LTDA;229258;1314898476;DWH6543;2 eixos, rodagem simples;2 eixos, rodagem simples;1129701211;28/03/2024;18:21:59;01/01/2000;00:00:00;;28/03/2024;18:22:43;RODOVIAS DAS COLINAS S.A;SP 280, 111.3, LESTE, BOITUVA - SP;12,4;Debito;Passagem Dentro SLA;;;;2;3;;24;1013;false;18a4a2db-5618-44fe-99cd-7b6f0f36e0d0
05437537000137;AUTO GERAL AUTOPECAS LTDA;229258;1314816778;PXD7G42;2 eixos, rodagem simples;2 eixos, rodagem simples;2167066407;28/03/2024;17:30:20;01/01/2000;00:00:00;;28/03/2024;17:30:30;RODOVIAS DAS COLINAS S.A;SP 300, 137.722, OESTE, PORTO FELIZ - SP;9,9;Debito;Passagem Dentro SLA;;;;5;2;;24;1013;false;065e4859-4056-46f5-83a3-723e04cf0b83
05437537000137;AUTO GERAL AUTOPECAS LTDA;229258;1314761727;DFJ9195;2 eixos, rodagem simples;2 eixos, rodagem simples;2199910708;28/03/2024;16:52:24;01/01/2000;00:00:00;;28/03/2024;16:53:00;CONCESSIONARIA DE RODOVIAS DO OESTE DE SAO PAULO VIAOESTE S.A;SP 075, 12.5, SUL, ITU - SP;8,6;Debito;Passagem Dentro SLA;;;;154;111;;286;1012;false;9c91d6d8-cfc2-4503-a72f-583b6dbd8d21
05437537000137;AUTO GERAL AUTOPECAS LTDA;229258;1314623612;GIA7B06;2 eixos, rodagem simples;2 eixos, rodagem simples;2132631068;28/03/2024;15:17:13;01/01/2000;00:00:00;;28/03/2024;15:17:26;CONCESSIONARIA DE RODOVIAS DO OESTE DE SAO PAULO VIAOESTE S.A;SP 075, 12.5, SUL, ITU - SP;8,6;Debito;Passagem Dentro SLA;;;;154;111;;286;1012;false;2292f415-107d-4f68-95d4-006b8c8c5e1f
05437537000137;AUTO GERAL AUTOPECAS LTDA;229258;1314478076;PXD7G42;2 eixos, rodagem simples;2 eixos, rodagem simples;2167066407;28/03/2024;13:40:28;01/01/2000;00:00:00;;28/03/2024;13:40:44;RODOVIAS DAS COLINAS S.A;SP 300, 137.722, OESTE, PORTO FELIZ - SP;9,9;Debito;Passagem Dentro SLA;;;;5;2;;24;1013;false;3548c054-681a-4df0-bbc8-4058c6579c2f
05437537000137;AUTO GERAL AUTOPECAS LTDA;229258;1314355919;GIY1B04;2 eixos, rodagem simples;2 eixos, rodagem simples;1172923315;28/03/2024;12:03:39;01/01/2000;00:00:00;;28/03/2024;12:04:55;CONCESSIONARIA DE RODOVIAS DO OESTE DE SAO PAULO VIAOESTE S.A;SP 280, 74.0, LESTE, ITU - SP;15,2;Debito;Passagem Dentro SLA;;;;143;116;;286;1012;false;3d09d728-90b2-4395-964d-c640d53a95f5
05437537000137;AUTO GERAL AUTOPECAS LTDA;229258;1315545738;FYX6I43;2 eixos rodagem simples;2 eixos rodagem simples;1182838201;28/03/2024;11:20:43;;;;28/03/2024;11:21:14;CONCESSIONARIA DE RODOVIAS DO OESTE DE SAO PAULO VIAOESTE S.A;SP 075, 12.5, SUL, ITU - SP;8,6;Debito;Passagem Dentro SLA;;;;154;112;ARTESP;286;1012;true;1b2ca5cd-3e56-4007-8496-29568ba823b7
05437537000137;AUTO GERAL AUTOPECAS LTDA;229258;1314281228;PXD7G42;2 eixos, rodagem simples;2 eixos, rodagem simples;2167066407;28/03/2024;10:51:51;01/01/2000;00:00:00;;28/03/2024;10:51:55;RODOVIAS DAS COLINAS S.A;SP 300, 137.722, OESTE, PORTO FELIZ - SP;9,9;Debito;Passagem Dentro SLA;;;;5;2;;24;1013;false;5fd9dc40-4b03-4076-9ca4-86462cba546b
