CPF/CNPJ;Razao Social;Conta;ID Transacao;Placa;Eixo Cadastrado;Eixo Cobrado;VeloeTag;Data de Utilizacao;Hora de Untrada;Data Fim de Utilizacao;Hora Fim de Utilizacao;Permanencia;Data de Processamento;Hora de Processamento;Nome do Estabelecimento;Endereco do Estabelecimento;Valor Cobrado;Tipo do Movimento;Tipo de Transacao;Informacao 1;Informacao 2;Informacao 3;Praca;Pista;Agencia;ID Concessionaria DTO;Concessionaria ID;Vale Pedagio;FastId
05437537000137;AUTO GERAL AUTOPECAS LTDA;229258;1505309591;GIY1B04;2 eixos, rodagem simples;2 eixos, rodagem simples;1172923315;31/08/2024;12:36:50;01/01/2000;00:00:00;;31/08/2024;12:37:53;CONCESSIONARIA DE RODOVIAS DO OESTE DE SAO PAULO VIAOESTE S.A;SP 075, 12.5, SUL, ITU - SP;9;Debito;Passagem Dentro SLA;;;;154;111;;286;1012;false;82ffae16-fc0e-414e-94eb-c9bec0c77093
05437537000137;AUTO GERAL AUTOPECAS LTDA;229258;1505293495;FLL4673;2 eixos, rodagem simples;2 eixos, rodagem simples;1156734683;31/08/2024;12:21:10;01/01/2000;00:00:00;;31/08/2024;12:21:24;RODOVIAS DAS COLINAS S.A;SP 300, 137.722, OESTE, PORTO FELIZ - SP;10,3;Debito;Passagem Dentro SLA;;;;5;2;;24;1013;false;f927fdf4-d794-4b42-8944-59e871a3533e
05437537000137;AUTO GERAL AUTOPECAS LTDA;229258;1505209044;PXD7G42;2 eixos, rodagem simples;2 eixos, rodagem simples;2167066407;31/08/2024;10:55:34;01/01/2000;00:00:00;;31/08/2024;10:55:56;RODOVIAS DAS COLINAS S.A;SP 300, 137.722, OESTE, PORTO FELIZ - SP;10,3;Debito;Passagem Dentro SLA;;;;5;2;;24;1013;false;ced8f955-4b8e-4c51-849c-b155c8f0c938
05437537000137;AUTO GERAL AUTOPECAS LTDA;229258;1504781273;FLL4673;2 eixos, rodagem simples;2 eixos, rodagem simples;1156734683;31/08/2024;07:20:15;01/01/2000;00:00:00;;31/08/2024;07:20:37;RODOVIAS DAS COLINAS S.A;SP 300, 137.722, OESTE, PORTO FELIZ - SP;10,3;Debito;Passagem Dentro SLA;;;;5;9;;24;1013;false;0132c364-c869-45b4-91ae-b0b9340207f7
05437537000137;AUTO GERAL AUTOPECAS LTDA;229258;1504419216;GIY1B04;2 eixos, rodagem simples;2 eixos, rodagem simples;1172923315;30/08/2024;20:34:47;01/01/2000;00:00:00;;30/08/2024;20:35:49;CONCESSIONARIA DE RODOVIAS DO OESTE DE SAO PAULO VIAOESTE S.A;SP 075, 12.5, SUL, ITU - SP;9;Debito;Passagem Dentro SLA;;;;154;111;;286;1012;false;fbf04fb1-372d-4856-b0ae-912e9659cb4e
05437537000137;AUTO GERAL AUTOPECAS LTDA;229258;1504950850;FLL4673;2 eixos rodagem simples;2 eixos rodagem simples;1156734683;30/08/2024;18:21:11;;;;30/08/2024;18:21:34;RODOVIAS DAS COLINAS S.A;SP 300, 137.722, OESTE, PORTO FELIZ - SP;10,3;Debito;Passagem Dentro SLA;;;;5;2;ARTESP;24;1013;true;6de6fa79-7f52-41bd-b0b9-79d396355ffa
05437537000137;AUTO GERAL AUTOPECAS LTDA;229258;1504237907;PXD7G42;2 eixos, rodagem simples;2 eixos, rodagem simples;2167066407;30/08/2024;17:10:32;01/01/2000;00:00:00;;30/08/2024;17:10:48;RODOVIAS DAS COLINAS S.A;SP 300, 137.722, OESTE, PORTO FELIZ - SP;10,3;Debito;Passagem Dentro SLA;;;;5;2;;24;1013;false;faf3ff51-8c00-4395-9bc8-7713c2c0d5e4
05437537000137;AUTO GERAL AUTOPECAS LTDA;229258;1504123527;GIA7B06;2 eixos, rodagem simples;2 eixos, rodagem simples;2132631068;30/08/2024;15:18:41;01/01/2000;00:00:00;;30/08/2024;15:19:40;CONCESSIONARIA DE RODOVIAS DO OESTE DE SAO PAULO VIAOESTE S.A;SP 075, 12.5, SUL, ITU - SP;9;Debito;Passagem Dentro SLA;;;;154;112;;286;1012;false;38bc4147-04fa-4c42-9c87-b452948b5c6e
05437537000137;AUTO GERAL AUTOPECAS LTDA;229258;1504083193;GIY1B04;2 eixos, rodagem simples;2 eixos, rodagem simples;1172923315;30/08/2024;14:41:27;01/01/2000;00:00:00;;30/08/2024;14:41:32;CONCESSIONARIA DE RODOVIAS DO OESTE DE SAO PAULO VIAOESTE S.A;SP 280, 74.0, LESTE, ITU - SP;15,8;Debito;Passagem Dentro SLA;;;;143;115;;286;1012;false;55728c2d-5b97-49d4-b480-516ff4b80bd1
05437537000137;AUTO GERAL AUTOPECAS LTDA;229258;1504073520;PXD7G42;2 eixos, rodagem simples;2 eixos, rodagem simples;2167066407;30/08/2024;13:50:26;01/01/2000;00:00:00;;30/08/2024;14:30:48;RODOVIAS DAS COLINAS S.A;SP 300, 137.722, OESTE, PORTO FELIZ - SP;10,3;Debito;Passagem Fora SLA;;;;5;2;;24;1013;false;fc2d568d-528f-479e-a2db-92eb06ffee25
05437537000137;AUTO GERAL AUTOPECAS LTDA;229258;1503944204;GIY1B04;2 eixos, rodagem simples;2 eixos, rodagem simples;1172923315;30/08/2024;12:25:05;01/01/2000;00:00:00;;30/08/2024;12:25:13;CONCESSIONARIA DE RODOVIAS DO OESTE DE SAO PAULO VIAOESTE S.A;SP 280, 74.0, LESTE, ITU - SP;15,8;Debito;Passagem Dentro SLA;;;;143;115;;286;1012;false;5a2a26d3-a1ba-46b4-8d8f-68b49819d8ed
05437537000137;AUTO GERAL AUTOPECAS LTDA;229258;1503881310;GIA7B06;2 eixos, rodagem simples;2 eixos, rodagem simples;2132631068;30/08/2024;11:15:18;01/01/2000;00:00:00;;30/08/2024;11:16:16;CONCESSIONARIA DE RODOVIAS DO OESTE DE SAO PAULO VIAOESTE S.A;SP 075, 12.5, SUL, ITU - SP;9;Debito;Passagem Dentro SLA;;;;154;112;;286;1012;false;c6ee35ac-af38-4af1-b9ec-a7618a362e7d
