CPF/CNPJ;Razao Social;Conta;ID Transacao;Placa;Eixo Cadastrado;Eixo Cobrado;VeloeTag;Data de Utilizacao;Hora de Untrada;Data Fim de Utilizacao;Hora Fim de Utilizacao;Permanencia;Data de Processamento;Hora de Processamento;Nome do Estabelecimento;Endereco do Estabelecimento;Valor Cobrado;Tipo do Movimento;Tipo de Transacao;Informacao 1;Informacao 2;Informacao 3;Praca;Pista;Agencia;ID Concessionaria DTO;Concessionaria ID;Vale Pedagio;FastId
05437537000137;AUTO GERAL AUTOPECAS LTDA;229258;1544176666;FLL4673;2 eixos rodagem simples;2 eixos rodagem simples;1156734683;30/09/2024;18:21:23;;;;30/09/2024;18:25:00;RODOVIAS DAS COLINAS S.A;SP 300, 137.722, OESTE, PORTO FELIZ - SP;10,3;Debito;Passagem Fora SLA;;;;5;2;ARTESP;24;1013;true;e62ec535-7806-403f-9152-eb36a218576b
05437537000137;AUTO GERAL AUTOPECAS LTDA;229258;1543599568;BQU4D69;2 eixos, rodagem simples;2 eixos, rodagem simples;1130525385;30/09/2024;17:38:56;01/01/2000;00:00:00;;30/09/2024;17:39:08;RODOVIAS DAS COLINAS S.A;SP 300, 137.722, OESTE, PORTO FELIZ - SP;10,3;Debito;Passagem Dentro SLA;;;;5;2;;24;1013;false;3d1325c7-e43a-4b15-b17f-005d718beba5
05437537000137;AUTO GERAL AUTOPECAS LTDA;229258;1543576419;DFJ9195;2 eixos, rodagem simples;2 eixos, rodagem simples;2199910708;30/09/2024;17:20:08;01/01/2000;00:00:00;;30/09/2024;17:20:19;CONCESSIONARIA DE RODOVIAS DO OESTE DE SAO PAULO VIAOESTE S.A;SP 075, 12.5, SUL, ITU - SP;9;Debito;Passagem Dentro SLA;;;;154;112;;286;1012;false;bcc9a56c-4d92-4520-b4d4-3a4aca49aa30
05437537000137;AUTO GERAL AUTOPECAS LTDA;229258;1543571996;PXD7G42;2 eixos, rodagem simples;2 eixos, rodagem simples;2167066407;30/09/2024;17:15:27;01/01/2000;00:00:00;;30/09/2024;17:15:55;RODOVIAS DAS COLINAS S.A;SP 300, 137.722, OESTE, PORTO FELIZ - SP;10,3;Debito;Passagem Dentro SLA;;;;5;2;;24;1013;false;1cdcc251-9711-45ba-a5d7-82e24627b19f
05437537000137;AUTO GERAL AUTOPECAS LTDA;229258;1543550093;420531;;;;30/09/2024;16:54:34;01/01/2000;00:00:00;;30/09/2024;16:54:34;;GR-CARTAO_DE_CREDITO;1000;Credito;Recarga Automatica;;;;;;;;;;153ff42d-dd3b-4187-9615-43156ec00897
05437537000137;AUTO GERAL AUTOPECAS LTDA;229258;1543549454;GIY1B04;2 eixos, rodagem simples;2 eixos, rodagem simples;1172923315;30/09/2024;16:53:32;01/01/2000;00:00:00;;30/09/2024;16:53:51;CONCESSIONARIA DE RODOVIAS DO OESTE DE SAO PAULO VIAOESTE S.A;SP 280, 74.0, LESTE, ITU - SP;15,8;Debito;Passagem Dentro SLA;;;;143;115;;286;1012;false;5c267c61-84aa-46ac-b475-075ad3fd533e
05437537000137;AUTO GERAL AUTOPECAS LTDA;229258;1543473628;GIA7B06;2 eixos, rodagem simples;2 eixos, rodagem simples;2132631068;30/09/2024;15:17:25;01/01/2000;00:00:00;;30/09/2024;15:17:41;CONCESSIONARIA DE RODOVIAS DO OESTE DE SAO PAULO VIAOESTE S.A;SP 075, 12.5, SUL, ITU - SP;9;Debito;Passagem Dentro SLA;;;;154;112;;286;1012;false;c815c610-1626-45bc-9d53-e4a5e471edeb
05437537000137;AUTO GERAL AUTOPECAS LTDA;229258;1544081678;PXD7G42;2 eixos rodagem simples;2 eixos rodagem simples;2167066407;30/09/2024;13:41:15;;;;30/09/2024;13:41:34;RODOVIAS DAS COLINAS S.A;SP 300, 137.722, OESTE, PORTO FELIZ - SP;10,3;Debito;Passagem Dentro SLA;;;;5;2;ARTESP;24;1013;true;b81e0477-a2bd-4ae1-9a5e-edd4fbdb57c4
05437537000137;AUTO GERAL AUTOPECAS LTDA;229258;1543293590;GIY1B04;2 eixos, rodagem simples;2 eixos, rodagem simples;1172923315;30/09/2024;12:07:09;01/01/2000;00:00:00;;30/09/2024;12:07:27;CONCESSIONARIA DE RODOVIAS DO OESTE DE SAO PAULO VIAOESTE S.A;SP 280, 74.0, LESTE, ITU - SP;15,8;Debito;Passagem Dentro SLA;;;;143;116;;286;1012;false;b67134fb-d383-40f9-9367-1660b9daa4ab
05437537000137;AUTO GERAL AUTOPECAS LTDA;229258;1543232020;GIA7B06;2 eixos, rodagem simples;2 eixos, rodagem simples;2132631068;30/09/2024;11:09:56;01/01/2000;00:00:00;;30/09/2024;11:11:11;CONCESSIONARIA DE RODOVIAS DO OESTE DE SAO PAULO VIAOESTE S.A;SP 075, 12.5, SUL, ITU - SP;9;Debito;Passagem Dentro SLA;;;;154;112;;286;1012;false;e9e63508-db0f-42d4-b1ca-d82c7593bf47
05437537000137;AUTO GERAL AUTOPECAS LTDA;229258;1543214929;PXD7G42;2 eixos, rodagem simples;2 eixos, rodagem simples;2167066407;30/09/2024;10:52:04;01/01/2000;00:00:00;;30/09/2024;10:52:17;RODOVIAS DAS COLINAS S.A;SP 300, 137.722, OESTE, PORTO FELIZ - SP;10,3;Debito;Passagem Dentro SLA;;;;5;2;;24;1013;false;e0b1f74e-5618-40ba-b84c-a9b9e85ef406
05437537000137;AUTO GERAL AUTOPECAS LTDA;229258;1543057331;GIA7B06;2 eixos, rodagem simples;2 eixos, rodagem simples;2132631068;30/09/2024;08:13:36;01/01/2000;00:00:00;;30/09/2024;08:14:51;CONCESSIONARIA DE RODOVIAS DO OESTE DE SAO PAULO VIAOESTE S.A;SP 075, 12.5, SUL, ITU - SP;9;Debito;Passagem Dentro SLA;;;;154;111;;286;1012;false;1284ee6e-054b-4bb7-9d08-f6dfcf5b8a5a
05437537000137;AUTO GERAL AUTOPECAS LTDA;229258;1543011633;DWH6543;2 eixos, rodagem simples;2 eixos, rodagem simples;2129218982;30/09/2024;07:32:48;01/01/2000;00:00:00;;30/09/2024;07:34:00;CONCESSIONARIA DE RODOVIAS DO OESTE DE SAO PAULO VIAOESTE S.A;SP 075, 12.5, SUL, ITU - SP;9;Debito;Passagem Dentro SLA;;;;154;112;;286;1012;false;aea57da7-6dfc-473a-9f16-7840e60d238c
05437537000137;AUTO GERAL AUTOPECAS LTDA;229258;1543006197;FLL4673;2 eixos, rodagem simples;2 eixos, rodagem simples;1156734683;30/09/2024;07:28:49;01/01/2000;00:00:00;;30/09/2024;07:29:16;RODOVIAS DAS COLINAS S.A;SP 300, 137.722, OESTE, PORTO FELIZ - SP;10,3;Debito;Passagem Dentro SLA;;;;5;9;;24;1013;false;3e511557-52b2-4877-881e-8e21c3c6d629
05437537000137;AUTO GERAL AUTOPECAS LTDA;229258;1542992216;BQU4D69;2 eixos, rodagem simples;2 eixos, rodagem simples;1130525385;30/09/2024;07:14:26;01/01/2000;00:00:00;;30/09/2024;07:14:35;RODOVIAS DAS COLINAS S.A;SP 300, 137.722, OESTE, PORTO FELIZ - SP;10,3;Debito;Passagem Dentro SLA;;;;5;9;;24;1013;false;0485edc3-6dae-4a71-af07-93c6e07664d3
05437537000137;AUTO GERAL AUTOPECAS LTDA;229258;1541920084;FLL4673;2 eixos rodagem simples;2 eixos rodagem simples;1156734683;28/09/2024;12:33:52;;;;28/09/2024;12:34:17;RODOVIAS DAS COLINAS S.A;SP 300, 137.722, OESTE, PORTO FELIZ - SP;10,3;Debito;Passagem Dentro SLA;;;;5;2;ARTESP;24;1013;true;efb0027b-fe87-4a1a-b224-8b4f2d5087e9
05437537000137;AUTO GERAL AUTOPECAS LTDA;229258;1540700717;GIY1B04;2 eixos, rodagem simples;2 eixos, rodagem simples;1172923315;28/09/2024;10:38:29;01/01/2000;00:00:00;;28/09/2024;10:38:38;CONCESSIONARIA DE RODOVIAS DO OESTE DE SAO PAULO VIAOESTE S.A;SP 280, 74.0, LESTE, ITU - SP;15,8;Debito;Passagem Dentro SLA;;;;143;115;;286;1012;false;f13571af-4d35-4e1c-9a88-872d7d6660f6
05437537000137;AUTO GERAL AUTOPECAS LTDA;229258;1540531358;FLL4673;2 eixos, rodagem simples;2 eixos, rodagem simples;1156734683;28/09/2024;07:34:50;01/01/2000;00:00:00;;28/09/2024;07:35:09;RODOVIAS DAS COLINAS S.A;SP 300, 137.722, OESTE, PORTO FELIZ - SP;10,3;Debito;Passagem Dentro SLA;;;;5;9;;24;1013;false;4b2cd583-3702-4746-adaa-f30c8356e2b0
05437537000137;AUTO GERAL AUTOPECAS LTDA;229258;1540527069;DWH6543;2 eixos, rodagem simples;2 eixos, rodagem simples;2129218982;28/09/2024;07:29:32;01/01/2000;00:00:00;;28/09/2024;07:30:39;CONCESSIONARIA DE RODOVIAS DO OESTE DE SAO PAULO VIAOESTE S.A;SP 075, 12.5, SUL, ITU - SP;9;Debito;Passagem Dentro SLA;;;;154;112;;286;1012;false;074b818c-25bd-47ca-b790-2bc1ec9495b9
05437537000137;AUTO GERAL AUTOPECAS LTDA;229258;1540829116;DFJ9195;2 eixos rodagem simples;2 eixos rodagem simples;2199910708;27/09/2024;17:20:05;;;;27/09/2024;17:21:14;CONCESSIONARIA DE RODOVIAS DO OESTE DE SAO PAULO VIAOESTE S.A;SP 075, 12.5, SUL, ITU - SP;9;Debito;Passagem Dentro SLA;;;;154;112;ARTESP;286;1012;true;fd41adfc-1819-4e8c-95a4-c9078715bdb9
05437537000137;AUTO GERAL AUTOPECAS LTDA;229258;1539945242;PXD7G42;2 eixos, rodagem simples;2 eixos, rodagem simples;2167066407;27/09/2024;17:16:55;01/01/2000;00:00:00;;27/09/2024;17:17:19;RODOVIAS DAS COLINAS S.A;SP 300, 137.722, OESTE, PORTO FELIZ - SP;10,3;Debito;Passagem Dentro SLA;;;;5;2;;24;1013;false;eb6a9a68-567e-4ea7-a39b-9fd4f55c9833
05437537000137;AUTO GERAL AUTOPECAS LTDA;229258;1539863544;GIY1B04;2 eixos, rodagem simples;2 eixos, rodagem simples;1172923315;27/09/2024;16:11:51;01/01/2000;00:00:00;;27/09/2024;16:12:02;CONCESSIONARIA DE RODOVIAS DO OESTE DE SAO PAULO VIAOESTE S.A;SP 280, 74.0, LESTE, ITU - SP;15,8;Debito;Passagem Dentro SLA;;;;143;116;;286;1012;false;7684cd71-a02a-461b-953f-dd5b491b4f6e
05437537000137;AUTO GERAL AUTOPECAS LTDA;229258;1539826453;GFB8C62;2 eixos, rodagem simples;2 eixos, rodagem simples;2172222668;27/09/2024;15:39:02;01/01/2000;00:00:00;;27/09/2024;15:40:56;RODOVIAS INTEGRADAS DO OESTE S.A;SP 127, 128.9, NORTE, TATUI - SP;15;Debito;Passagem Dentro SLA;;;;163;103;;305;1020;false;f29fb214-29ba-4dc0-9638-fa0dc7f6e96e
05437537000137;AUTO GERAL AUTOPECAS LTDA;229258;1539797778;GIA7B06;2 eixos, rodagem simples;2 eixos, rodagem simples;2132631068;27/09/2024;15:14:59;01/01/2000;00:00:00;;27/09/2024;15:16:05;CONCESSIONARIA DE RODOVIAS DO OESTE DE SAO PAULO VIAOESTE S.A;SP 075, 12.5, SUL, ITU - SP;9;Debito;Passagem Dentro SLA;;;;154;112;;286;1012;false;d54b3249-92d8-4fba-bdd9-d3f12dc13946
05437537000137;AUTO GERAL AUTOPECAS LTDA;229258;1539772075;GFB8C62;2 eixos, rodagem simples;2 eixos, rodagem simples;2172222668;27/09/2024;14:54:18;01/01/2000;00:00:00;;27/09/2024;14:55:29;RODOVIAS INTEGRADAS DO OESTE S.A;SP 127, 133.9, SUL, ITAPETININGA - SP;15;Debito;Passagem Dentro SLA;;;;174;103;;305;1020;false;fef91d8c-440d-41eb-838d-06b1a576429b
05437537000137;AUTO GERAL AUTOPECAS LTDA;229258;1539722532;GIY1B04;2 eixos, rodagem simples;2 eixos, rodagem simples;1172923315;27/09/2024;14:13:57;01/01/2000;00:00:00;;27/09/2024;14:14:06;CONCESSIONARIA DE RODOVIAS DO OESTE DE SAO PAULO VIAOESTE S.A;SP 280, 74.0, LESTE, ITU - SP;15,8;Debito;Passagem Dentro SLA;;;;143;115;;286;1012;false;cc930d6b-95f1-4d3c-840e-3cb1ff4ede58
05437537000137;AUTO GERAL AUTOPECAS LTDA;229258;1539680100;PXD7G42;2 eixos, rodagem simples;2 eixos, rodagem simples;2167066407;27/09/2024;13:38:49;01/01/2000;00:00:00;;27/09/2024;13:38:57;RODOVIAS DAS COLINAS S.A;SP 300, 137.722, OESTE, PORTO FELIZ - SP;10,3;Debito;Passagem Dentro SLA;;;;5;2;;24;1013;false;b78ba9f6-dd62-4936-b126-becbb5fc8c2e
05437537000137;AUTO GERAL AUTOPECAS LTDA;229258;1539664518;FLL4673;2 eixos, rodagem simples;2 eixos, rodagem simples;1156734683;27/09/2024;13:25:56;01/01/2000;00:00:00;;27/09/2024;13:26:02;RODOVIAS DAS COLINAS S.A;SP 300, 137.722, OESTE, PORTO FELIZ - SP;10,3;Debito;Passagem Dentro SLA;;;;5;2;;24;1013;false;f4f7a4ca-7f46-4e24-901a-517729360914
05437537000137;AUTO GERAL AUTOPECAS LTDA;229258;1539541101;GIY1B04;2 eixos, rodagem simples;2 eixos, rodagem simples;1172923315;27/09/2024;11:30:18;01/01/2000;00:00:00;;27/09/2024;11:30:30;CONCESSIONARIA DE RODOVIAS DO OESTE DE SAO PAULO VIAOESTE S.A;SP 280, 74.0, LESTE, ITU - SP;15,8;Debito;Passagem Dentro SLA;;;;143;116;;286;1012;false;e3f90924-8a88-4237-b9c3-3f9bddc9be4f
05437537000137;AUTO GERAL AUTOPECAS LTDA;229258;1539535190;GIA7B06;2 eixos, rodagem simples;2 eixos, rodagem simples;2132631068;27/09/2024;11:23:14;01/01/2000;00:00:00;;27/09/2024;11:24:19;CONCESSIONARIA DE RODOVIAS DO OESTE DE SAO PAULO VIAOESTE S.A;SP 075, 12.5, SUL, ITU - SP;9;Debito;Passagem Dentro SLA;;;;154;112;;286;1012;false;dcb66073-b340-4156-911b-5c8846ad8be3
