CPF/CNPJ;Razao Social;Conta;ID Transacao;Placa;Eixo Cadastrado;Eixo Cobrado;VeloeTag;Data de Utilizacao;Hora de Untrada;Data Fim de Utilizacao;Hora Fim de Utilizacao;Permanencia;Data de Processamento;Hora de Processamento;Nome do Estabelecimento;Endereco do Estabelecimento;Valor Cobrado;Tipo do Movimento;Tipo de Transacao;Informacao 1;Informacao 2;Informacao 3;Praca;Pista;Agencia;ID Concessionaria DTO;Concessionaria ID;Vale Pedagio;FastId
05437537000137;AUTO GERAL AUTOPECAS LTDA;229258;1466727352;FLL4673;2 eixos, rodagem simples;2 eixos, rodagem simples;1156734683;31/07/2024;18:47:51;01/01/2000;00:00:00;;31/07/2024;18:48:04;RODOVIAS DAS COLINAS S.A;SP 300, 137.722, OESTE, PORTO FELIZ - SP;10,3;Debito;Passagem Dentro SLA;;;;5;2;;24;1013;false;4d547326-2218-451f-8778-9b60f855dfae
05437537000137;AUTO GERAL AUTOPECAS LTDA;229258;1467347955;GIY1B04;2 eixos rodagem simples;2 eixos rodagem simples;1172923315;31/07/2024;18:11:00;;;;31/07/2024;18:11:29;CONCESSIONARIA DE RODOVIAS DO OESTE DE SAO PAULO VIAOESTE S.A;SP 075, 12.5, SUL, ITU - SP;9;Debito;Passagem Dentro SLA;;;;154;101;ARTESP;286;1012;true;8788f4cf-8ee7-440b-94e5-3f6bcea7cf44
05437537000137;AUTO GERAL AUTOPECAS LTDA;229258;1466633175;PXD7G42;2 eixos, rodagem simples;2 eixos, rodagem simples;2167066407;31/07/2024;17:17:41;01/01/2000;00:00:00;;31/07/2024;17:17:50;RODOVIAS DAS COLINAS S.A;SP 300, 137.722, OESTE, PORTO FELIZ - SP;10,3;Debito;Passagem Dentro SLA;;;;5;2;;24;1013;false;6103affc-e659-4765-8c2c-f18f217f3319
05437537000137;AUTO GERAL AUTOPECAS LTDA;229258;1467295887;GIA7B06;2 eixos rodagem simples;2 eixos rodagem simples;2132631068;31/07/2024;15:17:45;;;;31/07/2024;15:18:13;CONCESSIONARIA DE RODOVIAS DO OESTE DE SAO PAULO VIAOESTE S.A;SP 075, 12.5, SUL, ITU - SP;9;Debito;Passagem Dentro SLA;;;;154;112;ARTESP;286;1012;true;1f648cd6-a1fd-4fb4-9ab6-05789fd7dd80
05437537000137;AUTO GERAL AUTOPECAS LTDA;229258;1467278233;PXD7G42;2 eixos rodagem simples;2 eixos rodagem simples;2167066407;31/07/2024;13:47:45;;;;31/07/2024;13:47:49;RODOVIAS DAS COLINAS S.A;SP 300, 137.722, OESTE, PORTO FELIZ - SP;10,3;Debito;Passagem Dentro SLA;;;;5;2;ARTESP;24;1013;true;5e2c9861-e887-4129-bdaf-8feb9fbc33ea
05437537000137;AUTO GERAL AUTOPECAS LTDA;229258;1467231792;GIA7B06;2 eixos rodagem simples;2 eixos rodagem simples;2132631068;31/07/2024;11:14:43;;;;31/07/2024;11:15:11;CONCESSIONARIA DE RODOVIAS DO OESTE DE SAO PAULO VIAOESTE S.A;SP 075, 12.5, SUL, ITU - SP;9;Debito;Passagem Dentro SLA;;;;154;112;ARTESP;286;1012;true;fbe1d9e0-c022-4475-a39d-782161c3d897
05437537000137;AUTO GERAL AUTOPECAS LTDA;229258;1466294793;PXD7G42;2 eixos, rodagem simples;2 eixos, rodagem simples;2167066407;31/07/2024;10:51:51;01/01/2000;00:00:00;;31/07/2024;10:52:11;RODOVIAS DAS COLINAS S.A;SP 300, 137.722, OESTE, PORTO FELIZ - SP;10,3;Debito;Passagem Dentro SLA;;;;5;2;;24;1013;false;f0e38e45-8d02-45b5-975a-1a76b46a00e0
05437537000137;AUTO GERAL AUTOPECAS LTDA;229258;1466279424;GIY1B04;2 eixos, rodagem simples;2 eixos, rodagem simples;1172923315;31/07/2024;10:25:06;01/01/2000;00:00:00;;31/07/2024;10:25:19;CONCESSIONARIA DE RODOVIAS DO OESTE DE SAO PAULO VIAOESTE S.A;SP 280, 74.0, LESTE, ITU - SP;15,8;Debito;Passagem Dentro SLA;;;;143;115;;286;1012;false;e10f8d63-685e-4aaa-8d7a-a968fe74c82b
05437537000137;AUTO GERAL AUTOPECAS LTDA;229258;1466146546;GIA7B06;2 eixos, rodagem simples;2 eixos, rodagem simples;2132631068;31/07/2024;08:05:12;01/01/2000;00:00:00;;31/07/2024;08:05:42;CONCESSIONARIA DE RODOVIAS DO OESTE DE SAO PAULO VIAOESTE S.A;SP 075, 12.5, SUL, ITU - SP;9;Debito;Passagem Dentro SLA;;;;154;112;;286;1012;false;4a894a90-3d8e-49ac-b997-fb5e77d84a1c
05437537000137;AUTO GERAL AUTOPECAS LTDA;229258;1466124612;FLL4673;2 eixos, rodagem simples;2 eixos, rodagem simples;1156734683;31/07/2024;07:42:08;01/01/2000;00:00:00;;31/07/2024;07:42:33;RODOVIAS DAS COLINAS S.A;SP 300, 137.722, OESTE, PORTO FELIZ - SP;10,3;Debito;Passagem Dentro SLA;;;;5;9;;24;1013;false;53cc51ef-7042-48dd-95d3-fedca471fde9
05437537000137;AUTO GERAL AUTOPECAS LTDA;229258;1467179395;QUA2G54;2 eixos rodagem simples;2 eixos rodagem simples;1131434587;31/07/2024;07:22:38;;;;31/07/2024;07:23:07;CONCESSIONARIA DE RODOVIAS DO OESTE DE SAO PAULO VIAOESTE S.A;SP 075, 12.5, SUL, ITU - SP;9;Debito;Passagem Dentro SLA;;;;154;112;ARTESP;286;1012;true;c6f44c36-3b51-4abe-a2eb-7d34e956c5b8
05437537000137;AUTO GERAL AUTOPECAS LTDA;229258;1465507528;GIY1B04;2 eixos, rodagem simples;2 eixos, rodagem simples;1172923315;30/07/2024;18:27:35;01/01/2000;00:00:00;;30/07/2024;18:27:59;CONCESSIONARIA DE RODOVIAS DO OESTE DE SAO PAULO VIAOESTE S.A;SP 075, 12.5, SUL, ITU - SP;9;Debito;Passagem Dentro SLA;;;;154;112;;286;1012;false;79ec851a-08d3-47d2-b040-feecc469f27a
05437537000137;AUTO GERAL AUTOPECAS LTDA;229258;1465503272;FLL4673;2 eixos, rodagem simples;2 eixos, rodagem simples;1156734683;30/07/2024;18:23:08;01/01/2000;00:00:00;;30/07/2024;18:23:23;RODOVIAS DAS COLINAS S.A;SP 300, 137.722, OESTE, PORTO FELIZ - SP;10,3;Debito;Passagem Dentro SLA;;;;5;2;;24;1013;false;542c7e48-fa10-457b-9f21-79ef5b7b2678
05437537000137;AUTO GERAL AUTOPECAS LTDA;229258;1465468923;BQU4D69;2 eixos, rodagem simples;2 eixos, rodagem simples;1130525385;30/07/2024;17:50:11;01/01/2000;00:00:00;;30/07/2024;17:51:57;RODOVIAS DAS COLINAS S.A;SP 300, 137.722, OESTE, PORTO FELIZ - SP;10,3;Debito;Passagem Dentro SLA;;;;5;2;;24;1013;false;0ced816d-af85-4287-911d-6b333557acd4
05437537000137;AUTO GERAL AUTOPECAS LTDA;229258;1465431449;PXD7G42;2 eixos, rodagem simples;2 eixos, rodagem simples;2167066407;30/07/2024;17:17:47;01/01/2000;00:00:00;;30/07/2024;17:18:10;RODOVIAS DAS COLINAS S.A;SP 300, 137.722, OESTE, PORTO FELIZ - SP;10,3;Debito;Passagem Dentro SLA;;;;5;2;;24;1013;false;b37121f7-d7e5-421d-bd6f-51f3706e5a8b
05437537000137;AUTO GERAL AUTOPECAS LTDA;229258;1465293686;GIA7B06;2 eixos, rodagem simples;2 eixos, rodagem simples;2132631068;30/07/2024;15:12:38;01/01/2000;00:00:00;;30/07/2024;15:13:04;CONCESSIONARIA DE RODOVIAS DO OESTE DE SAO PAULO VIAOESTE S.A;SP 075, 12.5, SUL, ITU - SP;9;Debito;Passagem Dentro SLA;;;;154;111;;286;1012;false;64059d5f-4d76-4d86-9256-e5f1cc252e76
05437537000137;AUTO GERAL AUTOPECAS LTDA;229258;1465285834;396334;;;;30/07/2024;15:05:11;01/01/2000;00:00:00;;30/07/2024;15:05:11;;Automatica-CARTAO_DE_CREDITO;1000;Credito;Recarga Automatica;;;;;;;;;;c8ee3694-0861-4eff-879a-bce80cf0101a
05437537000137;AUTO GERAL AUTOPECAS LTDA;229258;1465285416;GIY1B04;2 eixos, rodagem simples;2 eixos, rodagem simples;1172923315;30/07/2024;15:04:19;01/01/2000;00:00:00;;30/07/2024;15:04:30;CONCESSIONARIA DE RODOVIAS DO OESTE DE SAO PAULO VIAOESTE S.A;SP 280, 74.0, LESTE, ITU - SP;15,8;Debito;Passagem Dentro SLA;;;;143;115;;286;1012;false;9eebc269-18b5-46cf-bebe-3db7b40ac79a
