CPF/CNPJ;Razao Social;Conta;ID Transacao;Placa;Eixo Cadastrado;Eixo Cobrado;VeloeTag;Data de Utilizacao;Hora de Untrada;Data Fim de Utilizacao;Hora Fim de Utilizacao;Permanencia;Data de Processamento;Hora de Processamento;Nome do Estabelecimento;Endereco do Estabelecimento;Valor Cobrado;Tipo do Movimento;Tipo de Transacao;Informacao 1;Informacao 2;Informacao 3;Praca;Pista;Agencia;ID Concessionaria DTO;Concessionaria ID;Vale Pedagio;FastId
05437537000137;AUTO GERAL AUTOPECAS LTDA;229258;1391111263;DWH6543;2 eixos rodagem simples;2 eixos rodagem simples;1129701211;31/05/2024;18:35:31;;;;31/05/2024;18:35:39;RODOVIAS DAS COLINAS S.A;SP 280, 111.3, LESTE, BOITUVA - SP;12,4;Debito;Passagem Dentro SLA;;;;2;3;ARTESP;24;1013;true;ae944aea-076a-4c89-bc13-2ce2032face4
05437537000137;AUTO GERAL AUTOPECAS LTDA;229258;1390666249;PXD7G42;2 eixos, rodagem simples;2 eixos, rodagem simples;2167066407;31/05/2024;17:32:41;01/01/2000;00:00:00;;31/05/2024;17:32:51;RODOVIAS DAS COLINAS S.A;SP 300, 137.722, OESTE, PORTO FELIZ - SP;9,9;Debito;Passagem Dentro SLA;;;;5;2;;24;1013;false;0b287ccb-0368-42e0-ae16-d1473bf277e3
05437537000137;AUTO GERAL AUTOPECAS LTDA;229258;1390574643;DFJ9195;2 eixos, rodagem simples;2 eixos, rodagem simples;2199910708;31/05/2024;16:16:46;01/01/2000;00:00:00;;31/05/2024;16:18:01;CONCESSIONARIA DE RODOVIAS DO OESTE DE SAO PAULO VIAOESTE S.A;SP 075, 12.5, SUL, ITU - SP;8,6;Debito;Passagem Dentro SLA;;;;154;112;;286;1012;false;f3084357-3687-42d3-a606-f760e1641a10
05437537000137;AUTO GERAL AUTOPECAS LTDA;229258;1390573258;ERF3783;2 eixos, rodagem simples;2 eixos, rodagem simples;2130205569;31/05/2024;16:16:30;01/01/2000;00:00:00;;31/05/2024;16:16:40;CONCESSIONARIA DE RODOVIAS DO OESTE DE SAO PAULO VIAOESTE S.A;SP 280, 74.0, LESTE, ITU - SP;15,2;Debito;Passagem Dentro SLA;;;;143;115;;286;1012;false;a070f7af-6ff2-4649-85ec-ebdc3d9d5217
05437537000137;AUTO GERAL AUTOPECAS LTDA;229258;1390506857;FYX6I43;2 eixos, rodagem simples;2 eixos, rodagem simples;1182838201;31/05/2024;15:15:36;01/01/2000;00:00:00;;31/05/2024;15:16:51;CONCESSIONARIA DE RODOVIAS DO OESTE DE SAO PAULO VIAOESTE S.A;SP 075, 12.5, SUL, ITU - SP;8,6;Debito;Passagem Dentro SLA;;;;154;112;;286;1012;false;55de3bfc-cf25-4676-aa84-5c1d141f9e56
05437537000137;AUTO GERAL AUTOPECAS LTDA;229258;1390417561;401676;;;;31/05/2024;13:58:18;01/01/2000;00:00:00;;31/05/2024;13:58:18;;Automatica-CARTAO_DE_CREDITO;1000;Credito;Recarga Automatica;;;;;;;;;;19d2fdba-cd8d-4b3e-a505-146148360cb6
05437537000137;AUTO GERAL AUTOPECAS LTDA;229258;1390416999;PXD7G42;2 eixos, rodagem simples;2 eixos, rodagem simples;2167066407;31/05/2024;13:56:31;01/01/2000;00:00:00;;31/05/2024;13:57:37;RODOVIAS DAS COLINAS S.A;SP 300, 137.722, OESTE, PORTO FELIZ - SP;9,9;Debito;Passagem Dentro SLA;;;;5;2;;24;1013;false;90e56280-d6c5-4798-9d61-c58631930099
05437537000137;AUTO GERAL AUTOPECAS LTDA;229258;1390264699;FYX6I43;2 eixos, rodagem simples;2 eixos, rodagem simples;1182838201;31/05/2024;11:16:34;01/01/2000;00:00:00;;31/05/2024;11:17:48;CONCESSIONARIA DE RODOVIAS DO OESTE DE SAO PAULO VIAOESTE S.A;SP 075, 12.5, SUL, ITU - SP;8,6;Debito;Passagem Dentro SLA;;;;154;112;;286;1012;false;9222f9bd-1cb2-4f5c-8ee2-679596b7cf11
05437537000137;AUTO GERAL AUTOPECAS LTDA;229258;1390247332;PXD7G42;2 eixos, rodagem simples;2 eixos, rodagem simples;2167066407;31/05/2024;10:58:23;01/01/2000;00:00:00;;31/05/2024;10:58:31;RODOVIAS DAS COLINAS S.A;SP 300, 137.722, OESTE, PORTO FELIZ - SP;9,9;Debito;Passagem Dentro SLA;;;;5;2;;24;1013;false;0209ed4f-cc2f-4910-9606-181fb327fad1
05437537000137;AUTO GERAL AUTOPECAS LTDA;229258;1390136615;FEA0472;2 eixos, rodagem simples;2 eixos, rodagem simples;1168495145;31/05/2024;08:57:00;01/01/2000;00:00:00;;31/05/2024;08:57:06;RODOVIAS DAS COLINAS S.A;SP 300, 137.722, OESTE, PORTO FELIZ - SP;9,9;Debito;Passagem Dentro SLA;;;;5;2;;24;1013;false;7d0babcb-1ad3-4eb7-8ce3-68890e5a5878
