Placa,Data de Utilizacao
PXD7G42,30/04/2024
DFJ9195,30/04/2024
DWH6543,30/04/2024
GFQ2C31,30/04/2024
PXD7G42,30/04/2024
GFQ2C31,30/04/2024
PXD7G42,30/04/2024
EIB4306,30/04/2024
GFQ2C31,30/04/2024
DWH6543,30/04/2024
QUA2G54,30/04/2024
DWH6543,29/04/2024
GIA7B06,29/04/2024
PXD7G42,29/04/2024
DFJ9195,29/04/2024
GFQ2C31,29/04/2024
ERF3783,29/04/2024
PXD7G42,29/04/2024
GFQ2C31,29/04/2024
PXD7G42,29/04/2024
GFQ2C31,29/04/2024
QUA2G54,29/04/2024
DWH6543,29/04/2024
DWH6543,27/04/2024
DWH6543,27/04/2024
QUA2G54,27/04/2024
DWH6543,26/04/2024
PXD7G42,26/04/2024
DFJ9195,26/04/2024
GIY1B04,26/04/2024
GIA7B06,26/04/2024
PXD7G42,26/04/2024
GIA7B06,26/04/2024
PXD7G42,26/04/2024
GIA7B06,26/04/2024
DWH6543,26/04/2024
QUA2G54,26/04/2024
DWH6543,25/04/2024
PXD7G42,25/04/2024
DFJ9195,25/04/2024
GIA7B06,25/04/2024
PXD7G42,25/04/2024
GIY1B04,25/04/2024
GIA7B06,25/04/2024
PXD7G42,25/04/2024
GIA7B06,25/04/2024
DWH6543,25/04/2024
QUA2G54,25/04/2024
DWH6543,24/04/2024
PXD7G42,24/04/2024
DFJ9195,24/04/2024
FLL4673,24/04/2024
FLL4673,24/04/2024
GIY1B04,24/04/2024
GIA7B06,24/04/2024
FEA0472,24/04/2024
FEA0472,24/04/2024
GIA7B06,24/04/2024
PXD7G42,24/04/2024
GIA7B06,24/04/2024
DWH6543,24/04/2024
QUA2G54,24/04/2024
DWH6543,23/04/2024
PXD7G42,23/04/2024
DFJ9195,23/04/2024
GIA7B06,23/04/2024
PXD7G42,23/04/2024
GIA7B06,23/04/2024
BQU4D69,23/04/2024
BQU4D69,23/04/2024
PXD7G42,23/04/2024
GIY1B04,23/04/2024
GFQ2C31,23/04/2024
DWH6543,23/04/2024
QUA2G54,23/04/2024
DWH6543,22/04/2024
PXD7G42,22/04/2024
DFJ9195,22/04/2024
GIA7B06,22/04/2024
GIY1B04,22/04/2024
PXD7G42,22/04/2024
BQU4D69,22/04/2024
GIA7B06,22/04/2024
PXD7G42,22/04/2024
GIA7B06,22/04/2024
DWH6543,22/04/2024
QUA2G54,22/04/2024
DWH6543,20/04/2024
QUA2G54,20/04/2024
DWH6543,20/04/2024
DWH6543,19/04/2024
PXD7G42,19/04/2024
DFJ9195,19/04/2024
GIA7B06,19/04/2024
PXD7G42,19/04/2024
GIA7B06,19/04/2024
PXD7G42,19/04/2024
GIA7B06,19/04/2024
338366,19/04/2024
QUA2G54,19/04/2024
DWH6543,19/04/2024
DWH6543,18/04/2024
DFJ9195,18/04/2024
PXD7G42,18/04/2024
BQU4D69,18/04/2024
GIA7B06,18/04/2024
BQU4D69,18/04/2024
PXD7G42,18/04/2024
FLL4673,18/04/2024
FLL4673,18/04/2024
PXD7G42,18/04/2024
PWS9889,18/04/2024
GIY1B04,18/04/2024
GIA7B06,18/04/2024
PXD7G42,18/04/2024
PWS9889,18/04/2024
FEA0472,18/04/2024
FEA0472,18/04/2024
GIA7B06,18/04/2024
DWH6543,18/04/2024
QUA2G54,18/04/2024
DWH6543,17/04/2024
PXD7G42,17/04/2024
FEA0472,17/04/2024
FEA0472,17/04/2024
DFJ9195,17/04/2024
FEA0472,17/04/2024
FEA0472,17/04/2024
GIA7B06,17/04/2024
GIY1B04,17/04/2024
PXD7G42,17/04/2024
GIA7B06,17/04/2024
GIY1B04,17/04/2024
PXD7G42,17/04/2024
GIA7B06,17/04/2024
DWH6543,17/04/2024
QUA2G54,17/04/2024
DWH6543,16/04/2024
PXD7G42,16/04/2024
DFJ9195,16/04/2024
GIY1B04,16/04/2024
GIA7B06,16/04/2024
PXD7G42,16/04/2024
GIA7B06,16/04/2024
PXD7G42,16/04/2024
GIA7B06,16/04/2024
QUA2G54,16/04/2024
DWH6543,16/04/2024
DWH6543,15/04/2024
PXD7G42,15/04/2024
DFJ9195,15/04/2024
GIA7B06,15/04/2024
BQU4D69,15/04/2024
GIY1B04,15/04/2024
BQU4D69,15/04/2024
PXD7G42,15/04/2024
GIY1B04,15/04/2024
GIA7B06,15/04/2024
FEA0472,15/04/2024
FEA0472,15/04/2024
GIA7B06,15/04/2024
DWH6543,15/04/2024
QUA2G54,15/04/2024
DWH6543,12/04/2024
PXD7G42,12/04/2024
DFJ9195,12/04/2024
GIA7B06,12/04/2024
PXD7G42,12/04/2024
GIY1B04,12/04/2024
GIA7B06,12/04/2024
PXD7G42,12/04/2024
GIA7B06,12/04/2024
DWH6543,12/04/2024
QUA2G54,12/04/2024
DWH6543,11/04/2024
PXD7G42,11/04/2024
DFJ9195,11/04/2024
PWS9889,11/04/2024
GIA7B06,11/04/2024
PXD7G42,11/04/2024
GIY1B04,11/04/2024
GIA7B06,11/04/2024
PXD7G42,11/04/2024
GIY1B04,11/04/2024
GIA7B06,11/04/2024
QUA2G54,11/04/2024
DWH6543,11/04/2024
DWH6543,10/04/2024
PXD7G42,10/04/2024
DFJ9195,10/04/2024
FLL4673,10/04/2024
FLL4673,10/04/2024
GIA7B06,10/04/2024
PXD7G42,10/04/2024
GIY1B04,10/04/2024
BQU4D69,10/04/2024
BQU4D69,10/04/2024
019635,10/04/2024
GIA7B06,10/04/2024
PXD7G42,10/04/2024
GIY1B04,10/04/2024
GIA7B06,10/04/2024
QUA2G54,10/04/2024
DWH6543,10/04/2024
DWH6543,09/04/2024
PXD7G42,09/04/2024
GIY1B04,09/04/2024
GIA7B06,09/04/2024
PXD7G42,09/04/2024
GIA7B06,09/04/2024
PXD7G42,09/04/2024
ERF3783,09/04/2024
PWS9889,09/04/2024
PWS9889,09/04/2024
GIA7B06,09/04/2024
QUA2G54,09/04/2024
DWH6543,09/04/2024
DFJ9195,08/04/2024
DWH6543,08/04/2024
PXD7G42,08/04/2024
GIY1B04,08/04/2024
ERF3783,08/04/2024
GIA7B06,08/04/2024
PXD7G42,08/04/2024
GIY1B04,08/04/2024
GIA7B06,08/04/2024
PXD7G42,08/04/2024
GIA7B06,08/04/2024
DWH6543,08/04/2024
QUA2G54,08/04/2024
FEA0472,06/04/2024
QUA2G54,06/04/2024
DWH6543,05/04/2024
DFJ9195,05/04/2024
PXD7G42,05/04/2024
GIA7B06,05/04/2024
PXD7G42,05/04/2024
GIA7B06,05/04/2024
PXD7G42,05/04/2024
GIA7B06,05/04/2024
DWH6543,05/04/2024
QUA2G54,05/04/2024
,04/04/2024
DWH6543,04/04/2024
PXD7G42,04/04/2024
DFJ9195,04/04/2024
GIA7B06,04/04/2024
PXD7G42,04/04/2024
GIA7B06,04/04/2024
PXD7G42,04/04/2024
FEA0472,04/04/2024
FEA0472,04/04/2024
GIA7B06,04/04/2024
DWH6543,04/04/2024
QUA2G54,04/04/2024
DWH6543,03/04/2024
199705,03/04/2024
PXD7G42,03/04/2024
DFJ9195,03/04/2024
ERF3783,03/04/2024
BQU4D69,03/04/2024
BQU4D69,03/04/2024
GIA7B06,03/04/2024
QQH3H11,03/04/2024
PXD7G42,03/04/2024
GIY1B04,03/04/2024
GIA7B06,03/04/2024
PXD7G42,03/04/2024
GIA7B06,03/04/2024
DWH6543,03/04/2024
FEA0472,02/04/2024
DWH6543,02/04/2024
DFJ9195,02/04/2024
FEA0472,02/04/2024
GIA7B06,02/04/2024
FEA0472,02/04/2024
FEA0472,02/04/2024
ERF3783,02/04/2024
GIA7B06,02/04/2024
FEA0472,02/04/2024
GIY1B04,02/04/2024
GIY1B04,02/04/2024
FEA0472,02/04/2024
DWH6543,02/04/2024
GIA7B06,02/04/2024
FEA0472,01/04/2024
DWH6543,01/04/2024
DWH6543,01/04/2024
FEA0472,01/04/2024
GIA7B06,01/04/2024
DFJ9195,01/04/2024
PXD7G42,01/04/2024
GIA7B06,01/04/2024
PXD7G42,01/04/2024
GIA7B06,01/04/2024
