Placa,Data de Utilizacao
GIY1B04,31/08/2024
FLL4673,31/08/2024
PXD7G42,31/08/2024
FLL4673,31/08/2024
GIY1B04,30/08/2024
FLL4673,30/08/2024
PXD7G42,30/08/2024
GIA7B06,30/08/2024
GIY1B04,30/08/2024
PXD7G42,30/08/2024
GIY1B04,30/08/2024
GIA7B06,30/08/2024
PXD7G42,30/08/2024
GIY1B04,30/08/2024
GIA7B06,30/08/2024
FLL4673,30/08/2024
QUA2G54,30/08/2024
FLL4673,29/08/2024
GIY1B04,29/08/2024
BQU4D69,29/08/2024
PXD7G42,29/08/2024
DFJ9195,29/08/2024
GIY1B04,29/08/2024
GIA7B06,29/08/2024
GIY1B04,29/08/2024
PXD7G42,29/08/2024
GIA7B06,29/08/2024
PXD7G42,29/08/2024
GIY1B04,29/08/2024
GIA7B06,29/08/2024
FLL4673,29/08/2024
QUA2G54,29/08/2024
BQU4D69,29/08/2024
GIY1B04,28/08/2024
FLL4673,28/08/2024
PXD7G42,28/08/2024
DFJ9195,28/08/2024
295430,28/08/2024
GIY1B04,28/08/2024
GIA7B06,28/08/2024
ERF3783,28/08/2024
PXD7G42,28/08/2024
GIY1B04,28/08/2024
GIA7B06,28/08/2024
PXD7G42,28/08/2024
GIY1B04,28/08/2024
GIA7B06,28/08/2024
FLL4673,28/08/2024
QUA2G54,28/08/2024
BQU4D69,27/08/2024
GIY1B04,27/08/2024
FLL4673,27/08/2024
PXD7G42,27/08/2024
DFJ9195,27/08/2024
GIA7B06,27/08/2024
GIY1B04,27/08/2024
FEA0472,27/08/2024
FEA0472,27/08/2024
GIY1B04,27/08/2024
GIA7B06,27/08/2024
FEA0472,27/08/2024
GIY1B04,27/08/2024
FEA0472,27/08/2024
GIA7B06,27/08/2024
FLL4673,27/08/2024
QUA2G54,27/08/2024
BQU4D69,27/08/2024
GIY1B04,26/08/2024
BQU4D69,26/08/2024
DFJ9195,26/08/2024
GIY1B04,26/08/2024
BQU4D69,26/08/2024
DWH6543,26/08/2024
GIA7B06,26/08/2024
BQU4D69,26/08/2024
FLL4673,26/08/2024
BQU4D69,26/08/2024
GIY1B04,26/08/2024
GIA7B06,26/08/2024
BQU4D69,26/08/2024
GIY1B04,26/08/2024
BQU4D69,26/08/2024
GIA7B06,26/08/2024
FLL4673,26/08/2024
QUA2G54,26/08/2024
GIG7685,24/08/2024
GIG7685,24/08/2024
QUA2G54,24/08/2024
GIY1B04,23/08/2024
FLL4673,23/08/2024
BQU4D69,23/08/2024
DFJ9195,23/08/2024
BQU4D69,23/08/2024
GIA7B06,23/08/2024
BQU4D69,23/08/2024
BQU4D69,23/08/2024
GFB8C62,23/08/2024
GIA7B06,23/08/2024
BQU4D69,23/08/2024
GFB8C62,23/08/2024
GIY1B04,23/08/2024
BQU4D69,23/08/2024
GIA7B06,23/08/2024
QUA2G54,23/08/2024
FLL4673,23/08/2024
GIY1B04,22/08/2024
DWH6543,22/08/2024
FLL4673,22/08/2024
BQU4D69,22/08/2024
BQU4D69,22/08/2024
GIY1B04,22/08/2024
GIA7B06,22/08/2024
BQU4D69,22/08/2024
BQU4D69,22/08/2024
GIY1B04,22/08/2024
GIA7B06,22/08/2024
BQU4D69,22/08/2024
GIY1B04,22/08/2024
BQU4D69,22/08/2024
GIA7B06,22/08/2024
FLL4673,22/08/2024
QUA2G54,22/08/2024
DWH6543,22/08/2024
FLL4673,21/08/2024
BQU4D69,21/08/2024
ERF3783,21/08/2024
BQU4D69,21/08/2024
GIY1B04,21/08/2024
GIA7B06,21/08/2024
BQU4D69,21/08/2024
989279,21/08/2024
GIY1B04,21/08/2024
BQU4D69,21/08/2024
GIA7B06,21/08/2024
BQU4D69,21/08/2024
GIY1B04,21/08/2024
BQU4D69,21/08/2024
GIA7B06,21/08/2024
FLL4673,21/08/2024
QUA2G54,21/08/2024
DWH6543,20/08/2024
FLL4673,20/08/2024
BQU4D69,20/08/2024
GIY1B04,20/08/2024
BQU4D69,20/08/2024
GIA7B06,20/08/2024
GIY1B04,20/08/2024
BQU4D69,20/08/2024
BQU4D69,20/08/2024
GIY1B04,20/08/2024
GIA7B06,20/08/2024
BQU4D69,20/08/2024
GIY1B04,20/08/2024
BQU4D69,20/08/2024
EIB4306,20/08/2024
GIA7B06,20/08/2024
FLL4673,20/08/2024
DWH6543,20/08/2024
QUA2G54,20/08/2024
GIY1B04,19/08/2024
FLL4673,19/08/2024
BQU4D69,19/08/2024
GIY1B04,19/08/2024
BQU4D69,19/08/2024
GIA7B06,19/08/2024
GIY1B04,19/08/2024
BQU4D69,19/08/2024
BQU4D69,19/08/2024
GIY1B04,19/08/2024
GIA7B06,19/08/2024
BQU4D69,19/08/2024
BQU4D69,19/08/2024
GIA7B06,19/08/2024
FLL4673,19/08/2024
QUA2G54,19/08/2024
GIY1B04,17/08/2024
FLL4673,17/08/2024
GIG7685,17/08/2024
GIG7685,17/08/2024
QUA2G54,17/08/2024
FLL4673,17/08/2024
