Placa,Data de Utilizacao
FLL4673,31/07/2024
GIY1B04,31/07/2024
PXD7G42,31/07/2024
GIA7B06,31/07/2024
PXD7G42,31/07/2024
GIA7B06,31/07/2024
PXD7G42,31/07/2024
GIY1B04,31/07/2024
GIA7B06,31/07/2024
FLL4673,31/07/2024
QUA2G54,31/07/2024
GIY1B04,30/07/2024
FLL4673,30/07/2024
BQU4D69,30/07/2024
PXD7G42,30/07/2024
GIA7B06,30/07/2024
396334,30/07/2024
GIY1B04,30/07/2024
PXD7G42,30/07/2024
GIA7B06,30/07/2024
PXD7G42,30/07/2024
FLL4673,30/07/2024
FLL4673,30/07/2024
GIY1B04,30/07/2024
GIA7B06,30/07/2024
FLL4673,30/07/2024
DWH6543,30/07/2024
FLL4673,29/07/2024
PXD7G42,29/07/2024
FLL4673,29/07/2024
FLL4673,29/07/2024
PWS9889,29/07/2024
GIA7B06,29/07/2024
PWS9889,29/07/2024
PXD7G42,29/07/2024
ERF3783,29/07/2024
GIA7B06,29/07/2024
PXD7G42,29/07/2024
DWH6543,29/07/2024
DWH6543,29/07/2024
GIA7B06,29/07/2024
FLL4673,29/07/2024
DWH6543,27/07/2024
DWH6543,27/07/2024
QUA2G54,27/07/2024
FLL4673,26/07/2024
PXD7G42,26/07/2024
GIA7B06,26/07/2024
GFB8C62,26/07/2024
GFB8C62,26/07/2024
PXD7G42,26/07/2024
GIY1B04,26/07/2024
GIA7B06,26/07/2024
PXD7G42,26/07/2024
PXD7G42,26/07/2024
GIA7B06,26/07/2024
FLL4673,26/07/2024
QUA2G54,26/07/2024
DWH6543,25/07/2024
FLL4673,25/07/2024
PXD7G42,25/07/2024
GIA7B06,25/07/2024
PXD7G42,25/07/2024
GIY1B04,25/07/2024
GIA7B06,25/07/2024
PXD7G42,25/07/2024
GIA7B06,25/07/2024
FLL4673,25/07/2024
BQU4D69,25/07/2024
QUA2G54,25/07/2024
FLL4673,24/07/2024
PXD7G42,24/07/2024
BQU4D69,24/07/2024
BQU4D69,24/07/2024
GIA7B06,24/07/2024
BQU4D69,24/07/2024
PXD7G42,24/07/2024
BQU4D69,24/07/2024
GFB8C62,24/07/2024
GIA7B06,24/07/2024
PXD7G42,24/07/2024
GIA7B06,24/07/2024
FLL4673,24/07/2024
QUA2G54,24/07/2024
FLL4673,23/07/2024
PXD7G42,23/07/2024
ERF3783,23/07/2024
GIA7B06,23/07/2024
GIY1B04,23/07/2024
PXD7G42,23/07/2024
GIA7B06,23/07/2024
PXD7G42,23/07/2024
GIA7B06,23/07/2024
FLL4673,23/07/2024
FLL4673,22/07/2024
PXD7G42,22/07/2024
FLL4673,22/07/2024
FLL4673,22/07/2024
GIA7B06,22/07/2024
PXD7G42,22/07/2024
BQU4D69,22/07/2024
FLL4673,22/07/2024
