Placa,Data de Utilizacao
DWH6543,29/06/2024
GIG7685,29/06/2024
GIY1B04,29/06/2024
DWH6543,29/06/2024
DWH6543,28/06/2024
GIG7685,28/06/2024
PXD7G42,28/06/2024
DFJ9195,28/06/2024
PXD7G42,28/06/2024
GIA7B06,28/06/2024
PXD7G42,28/06/2024
ERF3783,28/06/2024
DWH6543,28/06/2024
GIA7B06,28/06/2024
QUA2G54,28/06/2024
DWH6543,27/06/2024
GIG7685,27/06/2024
PXD7G42,27/06/2024
DFJ9195,27/06/2024
GIA7B06,27/06/2024
FLL4673,27/06/2024
FLL4673,27/06/2024
PXD7G42,27/06/2024
GIA7B06,27/06/2024
PXD7G42,27/06/2024
FLL4673,27/06/2024
FLL4673,27/06/2024
GIA7B06,27/06/2024
DWH6543,27/06/2024
GIG7685,26/06/2024
DWH6543,26/06/2024
PXD7G42,26/06/2024
DFJ9195,26/06/2024
GIA7B06,26/06/2024
PXD7G42,26/06/2024
FLL4673,26/06/2024
GIA7B06,26/06/2024
PXD7G42,26/06/2024
FLL4673,26/06/2024
GIA7B06,26/06/2024
DWH6543,26/06/2024
QUA2G54,26/06/2024
GIG7685,25/06/2024
PXD7G42,25/06/2024
DWH6543,25/06/2024
DWH6543,25/06/2024
GIA7B06,25/06/2024
PXD7G42,25/06/2024
FLL4673,25/06/2024
FLL4673,25/06/2024
GIY1B04,25/06/2024
GIA7B06,25/06/2024
PXD7G42,25/06/2024
DWH6543,25/06/2024
GIA7B06,25/06/2024
QUA2G54,25/06/2024
DWH6543,25/06/2024
GIG7685,24/06/2024
DWH6543,24/06/2024
PXD7G42,24/06/2024
GIA7B06,24/06/2024
PXD7G42,24/06/2024
ERF3783,24/06/2024
GIA7B06,24/06/2024
PXD7G42,24/06/2024
GIA7B06,24/06/2024
QUA2G54,24/06/2024
DWH6543,24/06/2024
GIG7685,22/06/2024
QUA2G54,22/06/2024
DWH6543,21/06/2024
GIG7685,21/06/2024
PXD7G42,21/06/2024
FYX6I43,21/06/2024
ERF3783,21/06/2024
PXD7G42,21/06/2024
FYX6I43,21/06/2024
PXD7G42,21/06/2024
FYX6I43,21/06/2024
QUA2G54,21/06/2024
DWH6543,21/06/2024
GIG7685,20/06/2024
PXD7G42,20/06/2024
DWH6543,20/06/2024
GIA7B06,20/06/2024
PXD7G42,20/06/2024
GIA7B06,20/06/2024
PXD7G42,20/06/2024
GIA7B06,20/06/2024
QUA2G54,20/06/2024
DWH6543,20/06/2024
DWH6543,19/06/2024
GIG7685,19/06/2024
PXD7G42,19/06/2024
DFJ9195,19/06/2024
GFQ2C31,19/06/2024
PWS9889,19/06/2024
966752,19/06/2024
PXD7G42,19/06/2024
GIY1B04,19/06/2024
GFQ2C31,19/06/2024
PXD7G42,19/06/2024
DWH6543,19/06/2024
