Placa,Data de Utilizacao
DWH6543,31/05/2024
PXD7G42,31/05/2024
DFJ9195,31/05/2024
ERF3783,31/05/2024
FYX6I43,31/05/2024
401676,31/05/2024
PXD7G42,31/05/2024
FYX6I43,31/05/2024
PXD7G42,31/05/2024
FEA0472,31/05/2024
FEA0472,31/05/2024
FYX6I43,31/05/2024
DWH6543,31/05/2024
DWH6543,29/05/2024
FEA0472,29/05/2024
FEA0472,29/05/2024
FYX6I43,29/05/2024
FEA0472,29/05/2024
ERF3783,29/05/2024
FEA0472,29/05/2024
FYX6I43,29/05/2024
PXD7G42,29/05/2024
FYX6I43,29/05/2024
DWH6543,29/05/2024
QUA2G54,29/05/2024
PXD7G42,28/05/2024
FYX6I43,28/05/2024
DWH6543,28/05/2024
PXD7G42,28/05/2024
FYX6I43,28/05/2024
ERF3783,28/05/2024
PXD7G42,28/05/2024
FYX6I43,28/05/2024
DWH6543,28/05/2024
QUA2G54,28/05/2024
DWH6543,27/05/2024
PXD7G42,27/05/2024
PWS9889,27/05/2024
PWS9889,27/05/2024
FLL4673,27/05/2024
FLL4673,27/05/2024
FYX6I43,27/05/2024
PXD7G42,27/05/2024
FYX6I43,27/05/2024
PXD7G42,27/05/2024
GIY1B04,27/05/2024
FYX6I43,27/05/2024
DWH6543,27/05/2024
QUA2G54,27/05/2024
DWH6543,24/05/2024
PXD7G42,24/05/2024
DFJ9195,24/05/2024
PXD7G42,24/05/2024
GIA7B06,24/05/2024
PXD7G42,24/05/2024
FYX6I43,24/05/2024
QUA2G54,24/05/2024
DWH6543,24/05/2024
DFJ9195,23/05/2024
PXD7G42,23/05/2024
FYX6I43,23/05/2024
PXD7G42,23/05/2024
FYX6I43,23/05/2024
PXD7G42,23/05/2024
GIA7B06,23/05/2024
FLL4673,23/05/2024
QUA2G54,23/05/2024
DWH6543,22/05/2024
FLL4673,22/05/2024
DFJ9195,22/05/2024
PXD7G42,22/05/2024
GIA7B06,22/05/2024
GIY1B04,22/05/2024
PXD7G42,22/05/2024
GIA7B06,22/05/2024
PXD7G42,22/05/2024
GIY1B04,22/05/2024
GIA7B06,22/05/2024
FLL4673,22/05/2024
DWH6543,22/05/2024
QUA2G54,22/05/2024
FLL4673,21/05/2024
DWH6543,21/05/2024
DFJ9195,21/05/2024
PXD7G42,21/05/2024
DWH6543,21/05/2024
GIA7B06,21/05/2024
GIY1B04,21/05/2024
PXD7G42,21/05/2024
FLL4673,21/05/2024
GIY1B04,21/05/2024
FLL4673,21/05/2024
GIA7B06,21/05/2024
PXD7G42,21/05/2024
GIY1B04,21/05/2024
DWH6543,21/05/2024
FLL4673,21/05/2024
DWH6543,21/05/2024
QUA2G54,21/05/2024
FLL4673,20/05/2024
DWH6543,20/05/2024
PXD7G42,20/05/2024
DFJ9195,20/05/2024
DFJ9195,20/05/2024
PXD7G42,20/05/2024
GIA7B06,20/05/2024
046151,20/05/2024
PXD7G42,20/05/2024
GIA7B06,20/05/2024
FLL4673,20/05/2024
QUA2G54,20/05/2024
DWH6543,20/05/2024
DWH6543,18/05/2024
FLL4673,18/05/2024
DWH6543,18/05/2024
FLL4673,18/05/2024
QUA2G54,18/05/2024
DWH6543,17/05/2024
FLL4673,17/05/2024
PXD7G42,17/05/2024
DFJ9195,17/05/2024
FLL4673,17/05/2024
GIA7B06,17/05/2024
FLL4673,17/05/2024
PXD7G42,17/05/2024
GIY1B04,17/05/2024
GIA7B06,17/05/2024
PXD7G42,17/05/2024
GIA7B06,17/05/2024
DWH6543,17/05/2024
QUA2G54,17/05/2024
FYX6I43,16/05/2024
DWH6543,16/05/2024
PXD7G42,16/05/2024
PWS9889,16/05/2024
PWS9889,16/05/2024
ERF3783,16/05/2024
GIA7B06,16/05/2024
PXD7G42,16/05/2024
GIA7B06,16/05/2024
PXD7G42,16/05/2024
PWS9889,16/05/2024
GIA7B06,16/05/2024
QUA2G54,16/05/2024
DWH6543,16/05/2024
DWH6543,15/05/2024
PXD7G42,15/05/2024
GIY1B04,15/05/2024
GIA7B06,15/05/2024
PXD7G42,15/05/2024
GIA7B06,15/05/2024
PXD7G42,15/05/2024
GIY1B04,15/05/2024
PWS9889,15/05/2024
GIA7B06,15/05/2024
DWH6543,15/05/2024
QUA2G54,15/05/2024
DWH6543,14/05/2024
PXD7G42,14/05/2024
GIA7B06,14/05/2024
EIB4306,14/05/2024
PXD7G42,14/05/2024
GIA7B06,14/05/2024
PXD7G42,14/05/2024
EIB4306,14/05/2024
GIA7B06,14/05/2024
QUA2G54,14/05/2024
DWH6543,14/05/2024
PXD7G42,13/05/2024
GIA7B06,13/05/2024
PXD7G42,13/05/2024
EIB4306,13/05/2024
GIA7B06,13/05/2024
PXD7G42,13/05/2024
PWS9889,13/05/2024
PWS9889,13/05/2024
EIB4306,13/05/2024
FYX6I43,13/05/2024
PWS9889,13/05/2024
DFJ9195,10/05/2024
PXD7G42,10/05/2024
DWH6543,10/05/2024
FYX6I43,10/05/2024
GFB8C62,10/05/2024
PXD7G42,10/05/2024
GFB8C62,10/05/2024
FYX6I43,10/05/2024
PXD7G42,10/05/2024
GFB8C62,10/05/2024
GFB8C62,10/05/2024
FYX6I43,10/05/2024
EIB4306,10/05/2024
DWH6543,10/05/2024
QUA2G54,10/05/2024
DWH6543,09/05/2024
PXD7G42,09/05/2024
FYX6I43,09/05/2024
PXD7G42,09/05/2024
FYX6I43,09/05/2024
PXD7G42,09/05/2024
FYX6I43,09/05/2024
DWH6543,09/05/2024
QUA2G54,09/05/2024
035853,08/05/2024
DWH6543,08/05/2024
PXD7G42,08/05/2024
FYX6I43,08/05/2024
PXD7G42,08/05/2024
FYX6I43,08/05/2024
PXD7G42,08/05/2024
GIY1B04,08/05/2024
FYX6I43,08/05/2024
DWH6543,08/05/2024
DWH6543,07/05/2024
PXD7G42,07/05/2024
DFJ9195,07/05/2024
FYX6I43,07/05/2024
PXD7G42,07/05/2024
FYX6I43,07/05/2024
PXD7G42,07/05/2024
FYX6I43,07/05/2024
DWH6543,07/05/2024
DWH6543,06/05/2024
PXD7G42,06/05/2024
DFJ9195,06/05/2024
FYX6I43,06/05/2024
PXD7G42,06/05/2024
FYX6I43,06/05/2024
GIA7B06,06/05/2024
FEA0472,06/05/2024
GIA7B06,06/05/2024
GCE5996,06/05/2024
FEA0472,06/05/2024
GCE5996,06/05/2024
FYX6I43,06/05/2024
DWH6543,06/05/2024
FLL4673,06/05/2024
QUA2G54,06/05/2024
,04/05/2024
DWH6543,04/05/2024
FLL4673,04/05/2024
FLL4673,04/05/2024
DWH6543,04/05/2024
FLL4673,03/05/2024
DWH6543,03/05/2024
PXD7G42,03/05/2024
GIA7B06,03/05/2024
PXD7G42,03/05/2024
GIA7B06,03/05/2024
PXD7G42,03/05/2024
GIA7B06,03/05/2024
DWH6543,03/05/2024
QUA2G54,03/05/2024
DFJ9195,02/05/2024
GIA7B06,02/05/2024
GIY1B04,02/05/2024
PXD7G42,02/05/2024
EIB4306,02/05/2024
GIY1B04,02/05/2024
GIA7B06,02/05/2024
PXD7G42,02/05/2024
EIB4306,02/05/2024
GIA7B06,02/05/2024
695623,02/05/2024
DWH6543,02/05/2024
QUA2G54,02/05/2024
