Placa,Data de Utilizacao
DWH6543,30/03/2024
DWH6543,30/03/2024
DWH6543,28/03/2024
PXD7G42,28/03/2024
DFJ9195,28/03/2024
GIA7B06,28/03/2024
PXD7G42,28/03/2024
GIY1B04,28/03/2024
FYX6I43,28/03/2024
PXD7G42,28/03/2024
FYX6I43,28/03/2024
DWH6543,28/03/2024
QUA2G54,28/03/2024
DWH6543,27/03/2024
PXD7G42,27/03/2024
DFJ9195,27/03/2024
PWS9889,27/03/2024
FYX6I43,27/03/2024
FEA0472,27/03/2024
PWS9889,27/03/2024
GIY1B04,27/03/2024
FEA0472,27/03/2024
FYX6I43,27/03/2024
FEA0472,27/03/2024
FEA0472,27/03/2024
FYX6I43,27/03/2024
DWH6543,27/03/2024
QUA2G54,27/03/2024
DWH6543,26/03/2024
PXD7G42,26/03/2024
DFJ9195,26/03/2024
GIA7B06,26/03/2024
PXD7G42,26/03/2024
BQU4D69,26/03/2024
BQU4D69,26/03/2024
GIY1B04,26/03/2024
FYX6I43,26/03/2024
PXD7G42,26/03/2024
FYX6I43,26/03/2024
QUA2G54,26/03/2024
DWH6543,26/03/2024
PXD7G42,25/03/2024
DWH6543,25/03/2024
DFJ9195,25/03/2024
GIY1B04,25/03/2024
FYX6I43,25/03/2024
PXD7G42,25/03/2024
FLX6991,25/03/2024
FYX6I43,25/03/2024
PXD7G42,25/03/2024
FLX6991,25/03/2024
FYX6I43,25/03/2024
QUA2G54,25/03/2024
DWH6543,25/03/2024
DWH6543,23/03/2024
960993,23/03/2024
DWH6543,23/03/2024
QUA2G54,23/03/2024
DWH6543,22/03/2024
PXD7G42,22/03/2024
FYX6I43,22/03/2024
GIY1B04,22/03/2024
PXD7G42,22/03/2024
DFJ9195,22/03/2024
FYX6I43,22/03/2024
PXD7G42,22/03/2024
FLX6991,22/03/2024
FLX6991,22/03/2024
FYX6I43,22/03/2024
QQH3H11,22/03/2024
DWH6543,22/03/2024
QUA2G54,22/03/2024
PXD7G42,21/03/2024
FLX6991,21/03/2024
FYX6I43,21/03/2024
PXD7G42,21/03/2024
FYX6I43,21/03/2024
PXD7G42,21/03/2024
GIA7B06,21/03/2024
FLL4673,21/03/2024
QUA2G54,21/03/2024
FLL4673,20/03/2024
PXD7G42,20/03/2024
DFJ9195,20/03/2024
GIA7B06,20/03/2024
PXD7G42,20/03/2024
GIA7B06,20/03/2024
PXD7G42,20/03/2024
