Placa,Data de Utilizacao
FLL4673,30/09/2024
BQU4D69,30/09/2024
DFJ9195,30/09/2024
PXD7G42,30/09/2024
420531,30/09/2024
GIY1B04,30/09/2024
GIA7B06,30/09/2024
PXD7G42,30/09/2024
GIY1B04,30/09/2024
GIA7B06,30/09/2024
PXD7G42,30/09/2024
GIA7B06,30/09/2024
DWH6543,30/09/2024
FLL4673,30/09/2024
BQU4D69,30/09/2024
FLL4673,28/09/2024
GIY1B04,28/09/2024
FLL4673,28/09/2024
DWH6543,28/09/2024
DFJ9195,27/09/2024
PXD7G42,27/09/2024
GIY1B04,27/09/2024
GFB8C62,27/09/2024
GIA7B06,27/09/2024
GFB8C62,27/09/2024
GIY1B04,27/09/2024
PXD7G42,27/09/2024
FLL4673,27/09/2024
GIY1B04,27/09/2024
GIA7B06,27/09/2024
PXD7G42,27/09/2024
GIA7B06,27/09/2024
FLL4673,27/09/2024
DWH6543,27/09/2024
BQU4D69,26/09/2024
FLL4673,26/09/2024
DFJ9195,26/09/2024
PXD7G42,26/09/2024
GIY1B04,26/09/2024
GIA7B06,26/09/2024
PWS9889,26/09/2024
EIB4306,26/09/2024
PWS9889,26/09/2024
PXD7G42,26/09/2024
GIY1B04,26/09/2024
GIA7B06,26/09/2024
PXD7G42,26/09/2024
BQU4D69,26/09/2024
EIB4306,26/09/2024
GIA7B06,26/09/2024
FLL4673,26/09/2024
DWH6543,26/09/2024
FLL4673,25/09/2024
PXD7G42,25/09/2024
GIA7B06,25/09/2024
GIY1B04,25/09/2024
PXD7G42,25/09/2024
GIY1B04,25/09/2024
GIA7B06,25/09/2024
PXD7G42,25/09/2024
GIY1B04,25/09/2024
EIB4306,25/09/2024
GIA7B06,25/09/2024
FLL4673,25/09/2024
FLL4673,24/09/2024
DFJ9195,24/09/2024
PXD7G42,24/09/2024
GIY1B04,24/09/2024
GIA7B06,24/09/2024
GIY1B04,24/09/2024
PXD7G42,24/09/2024
BQU4D69,24/09/2024
GIA7B06,24/09/2024
PXD7G42,24/09/2024
GIY1B04,24/09/2024
GIA7B06,24/09/2024
FLL4673,24/09/2024
BQU4D69,24/09/2024
FLL4673,23/09/2024
PXD7G42,23/09/2024
DFJ9195,23/09/2024
GIA7B06,23/09/2024
GIY1B04,23/09/2024
PXD7G42,23/09/2024
GIA7B06,23/09/2024
PXD7G42,23/09/2024
GIA7B06,23/09/2024
FLL4673,23/09/2024
FLL4673,21/09/2024
FLL4673,21/09/2024
FLL4673,20/09/2024
PXD7G42,20/09/2024
GIA7B06,20/09/2024
